x	y	z

0	0	1.62895000000000
2	0	2.67627000000000
4	0	2.67627000000000
6	0	1.78420000000000
8	0	1.47998000000000
10	0	1.47998000000000
12	0	1.15525000000000
1	1	2.00892000000000
3	1	2.41872000000000
5	1	2.12296000000000
7	1	1.07318000000000
9	1	0.757350000000000
11	1	0.599600000000000
0	2	2.90073000000000
2	2	3.70559000000000
4	2	3.70559000000000
6	2	3.46059000000000
8	2	1.87439000000000
10	2	1.87439000000000
12	2	1.55986000000000
1	3	2.61170000000000
3	3	2.97790000000000	
5	3	2.97090000000000
7	3	2.15143000000000
9	3	0.990380000000000
11	3	0.835500000000000
0	4	3.11466000000000
2	4	3.88861000000000
4	4	3.88861000000000
6	4	3.75389000000000
8	4	1.95183000000000
10	4	1.95183000000000
12	4	1.63923000000000
1	5	2.41872000000000
3	5	2.79787000000000
5	5	2.69775000000000
7	5	1.81374000000000
9	5	0.913170000000000
11	5	0.757350000000000
0	6	2.43956000000000
2	6	3.66518000000000
4	6	3.66518000000000
6	6	2.83916000000000
8	6	1.37234000000000
10	6	1.37234000000000
12	6	1.39960000000000
1	7	2.09192000000000
3	7	2.88913000000000
5	7	2.09192000000000
7	7	-0.416780000000000
9	7	-0.579230000000000
11	7	-0.416780000000000
0	8	1.85840000000000
2	8	3.11041000000000
4	8	3.11041000000000
6	8	1
8	8	-0.326210000000000
10	8	-0.326210000000000
12	8	0.141600000000000
1	9	1.55533000000000
3	9	1.84313000000000
5	9	0.947640000000000
7	9	-0.947640000000000
9	9	-1.84313000000000
11	9	-1.55533000000000
0	10	2.33122000000000
2	10	2.91327000000000
4	10	2.91327000000000
6	10	1
8	10	-0.913270000000000
10	10	-0.913270000000000
12	10	-0.331220000000000
1	11	1.70072000000000
3	11	1.98274000000000
5	11	0.924730000000000
7	11	-0.924730000000000
9	11	-1.98274000000000
11	11	-1.70072000000000
0	12	2.17748000000000
2	12	2.77229000000000
4	12	2.77229000000000
6	12	1
8	12	-0.772290000000000
10	12	-0.772290000000000
12	12	-0.177480000000000
1	13	1.25481000000000
3	13	1.55533000000000
5	13	0.999130000000000
7	13	-0.999130000000000
9	13	-1.55533000000000
11	13	-1.25481000000000
0	14	1.34576000000000
2	14	2.01997000000000
4	14	2.01997000000000
6	14	1
8	14	-0.0199700000000000
10	14	-0.0199700000000000
12	14	0.654240000000000
